Año,Mes,Región,Categoría,Producto,Ventas
2022,Enero,Europa,Computadoras,Laptop X,9493
2022,Enero,Europa,Computadoras,Laptop Y,11697
2022,Enero,Europa,Computadoras,Laptop Z,14135
2022,Enero,Europa,Smartphones,Phone A,14021
2022,Enero,Europa,Smartphones,Phone B,20516
2022,Enero,Europa,Smartphones,Phone C,7194
2022,Enero,Europa,Accesorios,Mouse,12302
2022,Enero,Europa,Accesorios,Teclado,22847
2022,Enero,Europa,Accesorios,Audífonos,11743
2022,Enero,América,Computadoras,Laptop X,20076
2022,Enero,América,Computadoras,Laptop Y,21768
2022,Enero,América,Computadoras,Laptop Z,21775
2022,Enero,América,Smartphones,Phone A,11184
2022,Enero,América,Smartphones,Phone B,18060
2022,Enero,América,Smartphones,Phone C,14661
2022,Enero,América,Accesorios,Mouse,8987
2022,Enero,América,Accesorios,Teclado,20279
2022,Enero,América,Accesorios,Audífonos,17185
2022,Enero,Asia,Computadoras,Laptop X,6458
2022,Enero,Asia,Computadoras,Laptop Y,13492
2022,Enero,Asia,Computadoras,Laptop Z,24969
2022,Enero,Asia,Smartphones,Phone A,11306
2022,Enero,Asia,Smartphones,Phone B,11150
2022,Enero,Asia,Smartphones,Phone C,11717
2022,Enero,Asia,Accesorios,Mouse,18500
2022,Enero,Asia,Accesorios,Teclado,18895
2022,Enero,Asia,Accesorios,Audífonos,23834
2022,Febrero,Europa,Computadoras,Laptop X,22838
2022,Febrero,Europa,Computadoras,Laptop Y,7085
2022,Febrero,Europa,Computadoras,Laptop Z,23583
2022,Febrero,Europa,Smartphones,Phone A,15861
2022,Febrero,Europa,Smartphones,Phone B,20885
2022,Febrero,Europa,Smartphones,Phone C,10025
2022,Febrero,Europa,Accesorios,Mouse,11020
2022,Febrero,Europa,Accesorios,Teclado,19596
2022,Febrero,Europa,Accesorios,Audífonos,8383
2022,Febrero,América,Computadoras,Laptop X,13448
2022,Febrero,América,Computadoras,Laptop Y,7036
2022,Febrero,América,Computadoras,Laptop Z,22720
2022,Febrero,América,Smartphones,Phone A,5997
2022,Febrero,América,Smartphones,Phone B,8687
2022,Febrero,América,Smartphones,Phone C,10752
2022,Febrero,América,Accesorios,Mouse,11643
2022,Febrero,América,Accesorios,Teclado,22415
2022,Febrero,América,Accesorios,Audífonos,23915
2022,Febrero,Asia,Computadoras,Laptop X,21055
2022,Febrero,Asia,Computadoras,Laptop Y,17337
2022,Febrero,Asia,Computadoras,Laptop Z,7622
2022,Febrero,Asia,Smartphones,Phone A,20280
2022,Febrero,Asia,Smartphones,Phone B,6755
2022,Febrero,Asia,Smartphones,Phone C,16011
2022,Febrero,Asia,Accesorios,Mouse,18617
2022,Febrero,Asia,Accesorios,Teclado,14925
2022,Febrero,Asia,Accesorios,Audífonos,8270
2022,Marzo,Europa,Computadoras,Laptop X,10869
2022,Marzo,Europa,Computadoras,Laptop Y,20188
2022,Marzo,Europa,Computadoras,Laptop Z,11268
2022,Marzo,Europa,Smartphones,Phone A,16309
2022,Marzo,Europa,Smartphones,Phone B,7499
2022,Marzo,Europa,Smartphones,Phone C,13920
2022,Marzo,Europa,Accesorios,Mouse,13061
2022,Marzo,Europa,Accesorios,Teclado,5703
2022,Marzo,Europa,Accesorios,Audífonos,14584
2022,Marzo,América,Computadoras,Laptop X,22651
2022,Marzo,América,Computadoras,Laptop Y,22493
2022,Marzo,América,Computadoras,Laptop Z,6903
2022,Marzo,América,Smartphones,Phone A,12153
2022,Marzo,América,Smartphones,Phone B,19135
2022,Marzo,América,Smartphones,Phone C,17391
2022,Marzo,América,Accesorios,Mouse,24347
2022,Marzo,América,Accesorios,Teclado,22873
2022,Marzo,América,Accesorios,Audífonos,10822
2022,Marzo,Asia,Computadoras,Laptop X,6991
2022,Marzo,Asia,Computadoras,Laptop Y,18587
2022,Marzo,Asia,Computadoras,Laptop Z,7002
2022,Marzo,Asia,Smartphones,Phone A,10965
2022,Marzo,Asia,Smartphones,Phone B,22594
2022,Marzo,Asia,Smartphones,Phone C,11521
2022,Marzo,Asia,Accesorios,Mouse,12711
2022,Marzo,Asia,Accesorios,Teclado,24339
2022,Marzo,Asia,Accesorios,Audífonos,10071
2022,Abril,Europa,Computadoras,Laptop X,12179
2022,Abril,Europa,Computadoras,Laptop Y,12455
2022,Abril,Europa,Computadoras,Laptop Z,17803
2022,Abril,Europa,Smartphones,Phone A,9996
2022,Abril,Europa,Smartphones,Phone B,5589
2022,Abril,Europa,Smartphones,Phone C,23674
2022,Abril,Europa,Accesorios,Mouse,22635
2022,Abril,Europa,Accesorios,Teclado,12697
2022,Abril,Europa,Accesorios,Audífonos,9274
2022,Abril,América,Computadoras,Laptop X,24933
2022,Abril,América,Computadoras,Laptop Y,15368
2022,Abril,América,Computadoras,Laptop Z,21364
2022,Abril,América,Smartphones,Phone A,21278
2022,Abril,América,Smartphones,Phone B,7620
2022,Abril,América,Smartphones,Phone C,18156
2022,Abril,América,Accesorios,Mouse,18841
2022,Abril,América,Accesorios,Teclado,7158
2022,Abril,América,Accesorios,Audífonos,13780
2022,Abril,Asia,Computadoras,Laptop X,21508
2022,Abril,Asia,Computadoras,Laptop Y,15269
2022,Abril,Asia,Computadoras,Laptop Z,14670
2022,Abril,Asia,Smartphones,Phone A,14018
2022,Abril,Asia,Smartphones,Phone B,22109
2022,Abril,Asia,Smartphones,Phone C,12780
2022,Abril,Asia,Accesorios,Mouse,16452
2022,Abril,Asia,Accesorios,Teclado,16717
2022,Abril,Asia,Accesorios,Audífonos,14417
2022,Mayo,Europa,Computadoras,Laptop X,14061
2022,Mayo,Europa,Computadoras,Laptop Y,18555
2022,Mayo,Europa,Computadoras,Laptop Z,18528
2022,Mayo,Europa,Smartphones,Phone A,21920
2022,Mayo,Europa,Smartphones,Phone B,11302
2022,Mayo,Europa,Smartphones,Phone C,13033
2022,Mayo,Europa,Accesorios,Mouse,21634
2022,Mayo,Europa,Accesorios,Teclado,19156
2022,Mayo,Europa,Accesorios,Audífonos,20641
2022,Mayo,América,Computadoras,Laptop X,17786
2022,Mayo,América,Computadoras,Laptop Y,12136
2022,Mayo,América,Computadoras,Laptop Z,16516
2022,Mayo,América,Smartphones,Phone A,7140
2022,Mayo,América,Smartphones,Phone B,5142
2022,Mayo,América,Smartphones,Phone C,21626
2022,Mayo,América,Accesorios,Mouse,19038
2022,Mayo,América,Accesorios,Teclado,12205
2022,Mayo,América,Accesorios,Audífonos,20527
2022,Mayo,Asia,Computadoras,Laptop X,12940
2022,Mayo,Asia,Computadoras,Laptop Y,8415
2022,Mayo,Asia,Computadoras,Laptop Z,20451
2022,Mayo,Asia,Smartphones,Phone A,19978
2022,Mayo,Asia,Smartphones,Phone B,14936
2022,Mayo,Asia,Smartphones,Phone C,20031
2022,Mayo,Asia,Accesorios,Mouse,7973
2022,Mayo,Asia,Accesorios,Teclado,15433
2022,Mayo,Asia,Accesorios,Audífonos,18022
2022,Junio,Europa,Computadoras,Laptop X,9957
2022,Junio,Europa,Computadoras,Laptop Y,18152
2022,Junio,Europa,Computadoras,Laptop Z,7982
2022,Junio,Europa,Smartphones,Phone A,24167
2022,Junio,Europa,Smartphones,Phone B,5798
2022,Junio,Europa,Smartphones,Phone C,21349
2022,Junio,Europa,Accesorios,Mouse,7997
2022,Junio,Europa,Accesorios,Teclado,20482
2022,Junio,Europa,Accesorios,Audífonos,13185
2022,Junio,América,Computadoras,Laptop X,20499
2022,Junio,América,Computadoras,Laptop Y,9643
2022,Junio,América,Computadoras,Laptop Z,16498
2022,Junio,América,Smartphones,Phone A,16601
2022,Junio,América,Smartphones,Phone B,20116
2022,Junio,América,Smartphones,Phone C,8646
2022,Junio,América,Accesorios,Mouse,20605
2022,Junio,América,Accesorios,Teclado,7270
2022,Junio,América,Accesorios,Audífonos,14959
2022,Junio,Asia,Computadoras,Laptop X,12273
2022,Junio,Asia,Computadoras,Laptop Y,10329
2022,Junio,Asia,Computadoras,Laptop Z,5831
2022,Junio,Asia,Smartphones,Phone A,12398
2022,Junio,Asia,Smartphones,Phone B,8421
